"common_name","cpue_kg_per_ha_der","date_dim$full_date","date_dim$year","depth_m","field_identified_taxonomy_dim$scientific_name","latitude_dd","leg","longitude_dd","partition","pass","performance","project","sampling_end_hhmmss","sampling_start_hhmmss","scientific_name","station_code","statistical_partition_dim$statistical_partition_type","subsample_count","subsample_wt_kg","target_station_design_dim$stn_invalid_for_trawl_date_whid","total_catch_numbers","total_catch_wt_kg","trawl_id","vessel"
"Pacific halibut","4.690949078778","2003-09-24 00:00:00","2003","198.5000","Hippoglossus stenolepis","43.27361111","3","-124.70361111","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","053141","051253","Hippoglossus stenolepis","10255","NA","","","0","","9.7000","200303003064","Blue Horizon"
"Pacific halibut","3.610948557308","2003-09-24 00:00:00","2003","143.8000","Hippoglossus stenolepis","42.94194444","3","-124.84166667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","132326","130514","Hippoglossus stenolepis","10449","NA","1","6.9000","0","1","6.9000","200303003066","Blue Horizon"
"yelloweye rockfish","4.160440729072","2003-09-24 00:00:00","2003","143.8000","Sebastes ruberrimus","42.94194444","3","-124.84166667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","132326","130514","Sebastes ruberrimus","10449","NA","8","7.9500","0","8","7.9500","200303003066","Blue Horizon"
"darkblotched rockfish","0.142091005245","2003-09-25 00:00:00","2003","289.6000","Sebastes crameri","42.86916667","3","-124.82638889","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","092125","090249","Sebastes crameri","10500","NA","1","0.2500","0","1","0.2500","200303003068","Blue Horizon"
"darkblotched rockfish","0.067502418044","2003-09-25 00:00:00","2003","149.8000","Sebastes crameri","42.70138889","3","-124.67944444","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","124538","122438","Sebastes crameri","10586","NA","1","0.1500","0","1","0.1500","200303003069","Blue Horizon"
"darkblotched rockfish","7.829661172353","2003-09-27 00:00:00","2003","226.6000","Sebastes crameri","42.59111111","3","-124.71222222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","054153","052323","Sebastes crameri","10643","NA","38","16.9000","0","38","16.9000","200303003070","Blue Horizon"
"darkblotched rockfish","1.052885053919","2003-09-27 00:00:00","2003","171.4000","Sebastes crameri","42.35888889","3","-124.67194444","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","133448","131536","Sebastes crameri","10758","NA","8","2.2000","0","8","2.2000","200303003072","Blue Horizon"
"darkblotched rockfish","0.112657471470","2003-09-28 00:00:00","2003","153.5000","Sebastes crameri","41.52388889","3","-124.46722222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","162654","160824","Sebastes crameri","11346","NA","2","0.2500","0","2","0.2500","200303003077","Blue Horizon"
"darkblotched rockfish","0.467327908396","2003-09-28 00:00:00","2003","212.0000","Sebastes crameri","41.52861111","3","-124.49416667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","193714","191832","Sebastes crameri","11345","NA","","","0","","1.0500","200303003078","Blue Horizon"
"darkblotched rockfish","5.891526913585","2003-09-29 00:00:00","2003","180.8000","Sebastes crameri","41.27111111","3","-124.39944444","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","161847","160017","Sebastes crameri","11567","NA","27","13.1500","0","27","13.1500","200303003082","Blue Horizon"
"darkblotched rockfish","","2003-10-01 00:00:00","2003","257.9000","Sebastes crameri","40.57472222","3","-124.66638889","NA","2","Unsatisfactory","Groundfish Slope and Shelf Combination Survey","122116","120358","Sebastes crameri","11963","NA","26","40.8500","0","26","40.8500","200303003089","Blue Horizon"
"darkblotched rockfish","0.522406239061","2003-10-05 00:00:00","2003","370.5000","Sebastes crameri","40.34277778","4","-124.50055556","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","144410","142746","Sebastes crameri","12174","NA","2","0.9500","0","2","0.9500","200303003091","Blue Horizon"
"darkblotched rockfish","0.869605690914","2003-10-07 00:00:00","2003","248.2000","Sebastes crameri","39.67027778","4","-123.99583333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","100543","094501","Sebastes crameri","12829","NA","8","2.3500","0","8","2.3500","200303003097","Blue Horizon"
"darkblotched rockfish","0.136638541906","2003-10-08 00:00:00","2003","310.7000","Sebastes crameri","38.85833333","4","-123.92805556","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","065205","063605","Sebastes crameri","13278","NA","1","0.2500","0","1","0.2500","200303003101","Blue Horizon"
"darkblotched rockfish","0.063613526764","2003-10-08 00:00:00","2003","190.6000","Sebastes crameri","38.70388889","4","-123.75861111","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","121700","115654","Sebastes crameri","13341","NA","1","0.1500","0","1","0.1500","200303003103","Blue Horizon"
"darkblotched rockfish","25.182983912730","2003-10-08 00:00:00","2003","299.4000","Sebastes crameri","38.25666667","4","-123.46166667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","171059","165253","Sebastes crameri","13628","NA","72","22.3500","0","161","50.0000","200303003104","Blue Horizon"
"darkblotched rockfish","0.676005493556","2003-06-24 00:00:00","2003","140.7000","Sebastes crameri","46.15666667","1","-124.51555556","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","115222","113211","Sebastes crameri","7428","NA","5","1.3500","0","5","1.3500","200303006001","Captain Jack"
"Pacific halibut","9.013406580742","2003-06-24 00:00:00","2003","140.7000","Hippoglossus stenolepis","46.15666667","1","-124.51555556","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","115222","113211","Hippoglossus stenolepis","7428","NA","1","18.0000","0","1","18.0000","200303006001","Captain Jack"
"darkblotched rockfish","0.056045680995","2003-06-25 00:00:00","2003","106.0000","Sebastes crameri","47.60194444","1","-124.81555556","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","061515","055703","Sebastes crameri","5787","NA","1","0.1000","0","1","0.1000","200303006004","Captain Jack"
"darkblotched rockfish","4.739916286688","2003-06-25 00:00:00","2003","176.6000","Sebastes crameri","47.67138889","1","-125.06000000","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","103953","102134","Sebastes crameri","5677","NA","37","9.3500","0","37","9.3500","200303006005","Captain Jack"
"Pacific halibut","2.129160257122","2003-06-25 00:00:00","2003","176.6000","Hippoglossus stenolepis","47.67138889","1","-125.06000000","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","103953","102134","Hippoglossus stenolepis","5677","NA","","","0","","4.2000","200303006005","Captain Jack"
"darkblotched rockfish","0.072861970796","2003-06-25 00:00:00","2003","149.0000","Sebastes crameri","47.64722222","1","-124.96555556","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","193946","192038","Sebastes crameri","5680","NA","1","0.1500","0","1","0.1500","200303006007","Captain Jack"
"darkblotched rockfish","0.129571570407","2003-06-26 00:00:00","2003","169.0000","Sebastes crameri","48.40000000","1","-125.16388889","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","094640","092554","Sebastes crameri","4288","NA","6","0.3000","0","6","0.3000","200303006009","Captain Jack"
"yelloweye rockfish","0.458667959679","2003-06-26 00:00:00","2003","123.1000","Sebastes ruberrimus","48.26416667","1","-125.13083333","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","180441","174650","Sebastes ruberrimus","4662","NA","1","0.8500","0","1","0.8500","200303006011","Captain Jack"
"Pacific halibut","59.141186330433","2003-06-26 00:00:00","2003","123.1000","Hippoglossus stenolepis","48.26416667","1","-125.13083333","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","180441","174650","Hippoglossus stenolepis","4662","NA","9","7.7500","0","127","109.6000","200303006011","Captain Jack"
"Pacific halibut","8.080741841580","2003-06-27 00:00:00","2003","81.9000","Hippoglossus stenolepis","48.07750000","1","-124.92166667","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","075128","073224","Hippoglossus stenolepis","5083","NA","3","15.2000","0","3","15.2000","200303006012","Captain Jack"
"yelloweye rockfish","0.850249316820","2003-06-27 00:00:00","2003","125.3000","Sebastes ruberrimus","48.02666667","1","-125.05194444","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","170154","164342","Sebastes ruberrimus","5126","NA","2","1.7000","0","2","1.7000","200303006014","Captain Jack"
"Pacific halibut","12.603695755207","2003-06-27 00:00:00","2003","125.3000","Hippoglossus stenolepis","48.02666667","1","-125.05194444","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","170154","164342","Hippoglossus stenolepis","5126","NA","5","25.2000","0","5","25.2000","200303006014","Captain Jack"
"darkblotched rockfish","20.517325103555","2003-06-28 00:00:00","2003","296.2000","Sebastes crameri","47.91111111","1","-125.55638889","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","093707","091717","Sebastes crameri","5305","NA","44","36.8000","0","44","36.8000","200303006016","Captain Jack"
"Pacific halibut","5.120568793235","2003-06-29 00:00:00","2003","113.6000","Hippoglossus stenolepis","48.15972222","1","-125.38027778","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","101626","095807","Hippoglossus stenolepis","4908","NA","","","0","","9.4000","200303006023","Captain Jack"
"yelloweye rockfish","0.976478273885","2003-06-29 00:00:00","2003","135.8000","Sebastes ruberrimus","48.14027778","1","-125.31472222","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","134332","132335","Sebastes ruberrimus","4970","NA","2","1.9000","0","2","1.9000","200303006024","Captain Jack"
"darkblotched rockfish","0.051154531234","2003-06-30 00:00:00","2003","107.9000","Sebastes crameri","47.77555556","1","-124.91000000","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","061315","055456","Sebastes crameri","5529","NA","2","0.1000","0","2","0.1000","200303006026","Captain Jack"
"darkblotched rockfish","0.761282495627","2003-07-01 00:00:00","2003","182.3000","Sebastes crameri","46.96527778","1","-124.86055556","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","085021","083038","Sebastes crameri","6650","NA","7","1.5500","0","7","1.5500","200303006032","Captain Jack"
"darkblotched rockfish","10.062804613232","2003-07-06 00:00:00","2003","193.3000","Sebastes crameri","46.01416667","2","-124.65777778","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","140527","134757","Sebastes crameri","7614","NA","75","18.8500","0","75","18.8500","200303006039","Captain Jack"
"darkblotched rockfish","1.226496418538","2003-07-08 00:00:00","2003","390.5000","Sebastes crameri","44.81111111","2","-124.83666667","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","182041","180510","Sebastes crameri","8873","NA","2","2.0000","0","2","2.0000","200303006050","Captain Jack"
